0x00000001	ERROR_INVALID_FUNCTION
0x0000007B	Error_Invalid_Name	The filename, directory name,or volume label syntax is incorrect
0x00000275	Error_cant_enable_Deny_only	A group marked use for deny only can not be enabled
0x0000041D	ERROR_SERVICE_REQUEST_TIMEOUT	The service did not respond to the start or control request in a timely fashion.
0x000004C3	Error_Session_Credential_Conflict	Multiple connections to a server or shared resource by the same user,using more than one user name, are not allowed.
0x000004C5	Error_Dup_Domainename	The workgroup or domain name is already in use by another computer on the network.
0x00000619	error_Invalid_HW_Profile	The specified hardware profile configuration is invalid
0x00000641	Error_Install_Service_failure	The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode, or if the Windows Installer is not correctly installed.
0x00000643	ERROR_INSTALL_FAILURE	Fatal error during installation
0x00000652	ERROR_INSTALL_ALREADY_RUNNING	Another installation is already in progress. Complete that installation before proceeding with this install.
0x000006D9	EPT_S_Not_Registered	There are no more endpoints available from the endpoint mapper.
0x000006F6	RPC_X_BYTE_Count_TOO_Small	The byte count is too small
0x00000963	NERR_BADPasswordCore	This share name or password is invalid
0x00000BC2	Error_Success_Reboot_Required
0x00001112	Error_No_Media_In_Drive	No media in drive
0x00001190	Error_Shutdown_IS_Scheduled	A system shutdown has already been scheduled
0x00001234	Error_Port_Unreachable	No Service is operating at the destination network endpoint on the remote system
0x00001396	Error_Wrong_Target_Name	Logon failure: The target account name is incorrect.
0x000013D7	Error_Cluster_restype_Note_Supported	The specified node does not support a resource of this type. This amy be due to version inconsistancies or due to the absence of the resource DLL on this node.
0x00001449	Error_Invalid_Showwin_Command	Cannot show or remove the window in the way specified
0x00240001	WU_S_SERVICE_STOP	Service stopped
0x00240002	WU_S_SELFUPDATE	Agent selfupdates
0x00240003	WU_S_UPDATE_ERROR	Overall operation completed but error occurred while processing one or more specified updates.
0x00240004	WU_S_MARKED_FOR_DISCONNECT	The caller attempted to disconnect an operation but the operation is busy calling back so the callback is marked for disconnect later
0x00240005	WU_S_REBOOT_REQUIRED	The system needs to be rebooted to complete installation.
0x00240006	SUS_S_ALREADY_INSTALLED	The update to be installed is already installed
0x00240007	WU_S_ALREADY_UNINSTALLED	The update to be uninstalled is already not installed.
0x00240008	WU_S_ALREADY_DOWNLOADED	The update to be downloaded is already downloaded
0x80000007	E_ABORT
0x80004001	E_NOTIMPL
0x80004002	E_Nointerface
0x80004003	E_Pointer	Invalid pointer
0x80004004	E_ABORT	Operation Aborted
0x80004005	E_Fail
0x80004015	CO_E_WRONG_SERVER_IDENTITY	The security descriptor on the BITS service was changed by a security template such that NetworkService account doesn’t have READ access to BITS service.
